r,g
0,0
0.23857689,0
0.429438403,0
0.715730671,0
1.00202294,0
1.240599831,0
1.479176721,0
1.76546899,0
2.00404588,0
2.242622771,0
2.528915039,0
2.76749193,0
2.958353442,0
3.149214955,0
3.244278669,0.012271343
3.338424781,0.066027153
3.406327434,0.219808146
3.496069049,0.458183566
3.556630875,0.919663912
3.598290071,1.173470089
3.642151514,1.33496646
3.685645917,1.511847799
3.727672154,1.750269008
3.771533597,1.911765379
3.816129124,2.042491815
3.861642254,2.134755832
3.955971886,2.180819158
4.052503766,2.134572678
4.102604913,2.0345246
4.200972,1.911353282
4.30007317,1.757412029
4.39917434,1.603470775
4.498642551,1.434144555
4.621050848,1.303257858
4.840541587,1.103047231
5.034339431,0.979784336
5.27530209,0.879553103
5.562879004,0.825430985
5.801639415,0.817509558
6.087564642,0.832619794
6.420654685,0.870761693
6.753194167,0.931981044
7.085550127,1.000892878
7.417906088,1.069804712
7.608217038,1.092699009
7.79907855,1.092515854
8.038022482,1.076901944
8.325232354,1.038164793
8.707872982,0.999336065
9.09033009,0.968199821
9.424521257,0.960186817
9.710813526,0.959912086
9.997014034,0.963483596
10.56877273,0.99755031
10.95049575,0.997184001
11.33185174,1.01220266
11.80937256,0.996359807
12.23881096,0.995947709
12.7639554,0.983905309
13.7660701,0.979097507
14.86324852,0.989583095
15.57907095,0.985050024
16.10394011,0.98454635
