r,g
0.126058385,0
0.966447618,0
1.890243902,0
2.121350941,0
2.352457981,0
2.58356502,0
2.814672059,0
2.98282889,0
3.15098572,0
3.319142551,0
3.487299381,0
3.53287312,0
3.57844686,0
3.624020599,0.1
3.669594338,0.336282067
3.770061923,0.72741059
3.864210792,0.968153671
3.965310249,1.374320738
4.058827246,1.600025275
4.109061039,1.795589536
4.198786807,1.931062808
4.243965626,2.006318716
4.329268293,2.036522179
4.494818653,1.976620751
4.575698218,1.901554404
4.736825477,1.736383167
4.89542525,1.511057753
5.055920637,1.330847972
5.297927461,1.090610388
5.712435233,0.955895362
6.381587261,0.881713636
6.971755339,0.927713889
7.815935802,1.019208897
8.448755213,1.080310881
9.328636421,1.021483635
10.25180083,0.992796664
11.34430684,0.99443953
12.43807658,1.026159484
13.36250474,1.027549602
14.62245672,1.014406673
15.79900164,1.016175913
16.89150765,1.017818779
18.23676229,1.034879313
19.07651965,1.021104512
19.66479211,1.021989132
