r,g
0.052707306,0
0.116132253,0
0.1795572,0
0.242982147,0
0.327548743,0
0.433256988,0
0.517823585,0
0.581248532,0
0.665815128,0
0.729240075,0
0.771523373,0
0.83494832,0
0.940656566,0
1.025223162,0
1.109789758,0
1.173214705,0
1.27892295,0
1.363489547,0
1.448056143,0
1.532622739,0
1.638330984,0
1.74403923,0
1.807464177,0
1.892030773,0
1.976597369,0
2.082305614,0
2.16687221,0
2.272580456,0
2.378288701,0
2.462855297,0
2.51570942,0
2.548743246,0.111111111
2.570765798,0.194444444
2.592788349,0.277777778
2.6148109,0.361111111
2.636980268,0.458333333
2.680438102,0.569444444
2.691596195,0.625
2.702901104,0.694444444
2.725364106,0.819444444
2.737256284,0.944444444
2.749882546,1.138888889
2.794074466,1.319444444
2.816537468,1.444444444
2.838853653,1.555555556
2.871740662,1.666666667
2.904627672,1.777777778
2.92679704,1.875
2.959243599,1.944444444
3.002114165,2
3.055408739,2.041666667
3.118393235,2
3.181084097,1.930555556
3.22263331,1.861111111
3.243187691,1.805555556
3.284736904,1.736111111
3.325992483,1.638888889
3.367248062,1.541666667
3.42964529,1.444444444
3.51303735,1.333333333
3.596576227,1.236111111
3.680482147,1.173611111
3.764388067,1.111111111
3.848514212,1.069444444
3.932640357,1.027777778
4.016766502,0.986111111
4.100892647,0.944444444
4.185092201,0.909722222
4.269291755,0.875
4.385277191,0.847222222
4.480341203,0.840277778
4.586196265,0.854166667
4.692051327,0.868055556
4.808477214,0.881944444
4.903688043,0.888888889
4.988401456,0.902777778
5.094329927,0.923611111
5.200258398,0.944444444
5.327401926,0.972222222
5.454692272,1.013888889
5.539699319,1.055555556
5.62448614,1.076388889
5.719770378,1.090277778
5.814981207,1.097222222
5.920542636,1.083333333
6.026250881,1.083333333
6.131959126,1.083333333
6.258735612,1.076388889
6.40650693,1.055555556
6.511994949,1.034722222
6.617556378,1.020833333
6.744259455,1.006944444
6.871035941,1
7.019027484,1
7.156374794,0.993055556
7.293795513,0.993055556
7.441713648,0.986111111
7.526280244,0.986111111
7.63198849,0.986111111
7.737696735,0.986111111
7.864693446,1
7.949260042,1
8.055041696,1.006944444
8.18189159,1.006944444
8.308814893,1.013888889
8.456879845,1.020833333
8.604871388,1.020833333
8.774004581,1.020833333
8.932566949,1.020833333
9.133412615,1.020833333
9.302472398,1.013888889
9.450463942,1.013888889
9.640738783,1.013888889
9.799227743,1.006944444
9.957716702,1
